run,label,dataset,fold,batch_size,lr,tau,alpha,accuracy,auc,fd,fs,md,ms
bda1232a,v1,II,1,16,1e-05,0.2,0.8,0.7049999833106995,0.7538249492645264,0.6700000166893005,0.7200000286102295,0.7400000095367432,0.6899999976158142
114e607e,v1,II,1,16,0.0001,0.2,0.8,0.8125,0.8841750025749207,0.7400000095367432,0.7599999904632568,0.9399999976158142,0.8100000023841858
011399f3,v1,II,1,16,0.001,0.2,0.8,0.8824999928474426,0.9279250502586364,0.800000011920929,0.8799999952316284,0.959999978542328,0.8899999856948853
a3f08872,v1,I,5,16,1e-05,0.2,0.8,0.6785714030265808,0.6672219634056091,0.6538461446762085,0.65625,0.7307692170143127,0.6785714030265808
fe06016d,v1,I,5,16,0.0001,0.2,0.8,0.6581632494926453,0.6712828278541565,0.692307710647583,0.671875,0.6730769276618958,0.5357142686843872
0689c2ec,v1,I,5,16,0.001,0.2,0.8,0.7346938848495483,0.7704081535339355,0.6730769276618958,0.78125,0.7692307829856873,0.6785714030265808
679c992c,v1,I,4,16,1e-05,0.2,0.8,0.6491228342056274,0.6488150358200073,0.6851851940155029,0.625,0.5961538553237915,0.6818181872367859
46b8626d,v1,I,4,16,0.0001,0.2,0.8,0.6535087823867798,0.6793628931045532,0.6111111044883728,0.625,0.6538461446762085,0.7121211886405945
5bbe4c1b,v1,I,4,16,0.001,0.2,0.8,0.7105262875556946,0.7443828582763672,0.6851851940155029,0.7142857313156128,0.7307692170143127,0.7121211886405945
c5e565c3,v1,I,3,16,1e-05,0.2,0.8,0.6542056202888489,0.680496096611023,0.6111111044883728,0.671875,0.6600000262260437,0.6739130616188049
e51e06bc,v1,I,3,16,0.0001,0.2,0.8,0.663551390171051,0.6825050115585327,0.6296296119689941,0.703125,0.6399999856948853,0.6739130616188049
d90a7a20,v1,I,3,16,0.001,0.2,0.8,0.7102803587913513,0.7253909111022949,0.6666666865348816,0.765625,0.6600000262260437,0.739130437374115
95deb9d8,v1,I,2,16,1e-05,0.2,0.8,0.6805555820465088,0.7275377511978149,0.7222222089767456,0.6969696879386902,0.699999988079071,0.5869565010070801
07230217,v1,I,2,16,0.0001,0.2,0.8,0.7407407164573669,0.7709190845489502,0.7962962985038757,0.6666666865348816,0.8399999737739563,0.6739130616188049
da64f76c,v1,I,2,16,0.001,0.2,0.8,0.7916666865348816,0.8495370149612427,0.7962962985038757,0.6969696879386902,0.959999978542328,0.739130437374115
a97b6676,v1,I,1,16,1e-05,0.2,0.8,0.7641509175300598,0.7834638357162476,0.7037037014961243,0.8064516186714172,0.7400000095367432,0.804347813129425
8a17cf7a,v1,I,1,16,0.0001,0.2,0.8,0.75,0.7843538522720337,0.6851851940155029,0.7580645084381104,0.7799999713897705,0.782608687877655
a63cd477,v1,I,1,16,0.001,0.2,0.8,0.7122641801834106,0.7762548923492432,0.6666666865348816,0.7096773982048035,0.7200000286102295,0.760869562625885
d58c57fe,v0,II,5,16,0.001,0.2,0.8,0.8899999856948853,0.9474750757217408,0.8700000047683716,0.8999999761581421,0.8799999952316284,0.9100000262260436
1cde0f55,v0,II,4,16,0.001,0.2,0.8,0.9200000166893004,0.9553500413894652,0.9300000071525574,0.8799999952316284,0.9399999976158142,0.9300000071525574
27efc85d,v0,II,3,16,0.001,0.2,0.8,0.8500000238418579,0.9019500017166138,0.6899999976158142,0.9200000166893004,0.9100000262260436,0.8799999952316284
340d1fde,v0,II,2,16,0.001,0.2,0.8,0.862500011920929,0.9088749885559082,0.75,0.9100000262260436,0.9100000262260436,0.8799999952316284
b0447c68,v0,II,1,16,0.001,0.2,0.8,0.8824999928474426,0.9279250502586364,0.800000011920929,0.8799999952316284,0.959999978542328,0.8899999856948853
6bb7dfee,v0,I,5,16,0.001,0.2,0.8,0.7346938848495483,0.7704081535339355,0.6730769276618958,0.78125,0.7692307829856873,0.6785714030265808
04e22df8,v0,I,4,16,0.001,0.2,0.8,0.7105262875556946,0.7443828582763672,0.6851851940155029,0.7142857313156128,0.7307692170143127,0.7121211886405945
02eda2ec,v0,I,3,16,0.001,0.2,0.8,0.7102803587913513,0.7253909111022949,0.6666666865348816,0.765625,0.6600000262260437,0.739130437374115
0adf4722,v0,I,2,16,0.001,0.2,0.8,0.7916666865348816,0.8495370149612427,0.7962962985038757,0.6969696879386902,0.959999978542328,0.739130437374115
fa3b20e2,v0,I,1,16,0.001,0.2,0.8,0.7122641801834106,0.7762548923492432,0.6666666865348816,0.7096773982048035,0.7200000286102295,0.760869562625885
0babdd9d,v0,II,5,16,1e-05,0.2,0.8,0.8050000071525574,0.8749749660491943,0.75,0.8299999833106995,0.8100000023841858,0.8299999833106995
e0594323,v0,II,4,16,1e-05,0.2,0.8,0.8274999856948853,0.8812500238418579,0.8500000238418579,0.8199999928474426,0.7799999713897705,0.8600000143051147
78ff1ba1,v0,II,3,16,1e-05,0.2,0.8,0.7925000190734863,0.8410249948501587,0.6899999976158142,0.8700000047683716,0.800000011920929,0.8100000023841858
b0674397,v0,II,2,16,1e-05,0.2,0.8,0.7724999785423279,0.8295249938964844,0.6700000166893005,0.8799999952316284,0.8199999928474426,0.7200000286102295
11c5bed6,v0,II,1,16,1e-05,0.2,0.8,0.7300000190734863,0.7936500310897827,0.699999988079071,0.699999988079071,0.8100000023841858,0.7099999785423279
1ff50540,v0,I,5,16,1e-05,0.2,0.8,0.6785714030265808,0.6672219634056091,0.6538461446762085,0.65625,0.7307692170143127,0.6785714030265808
b2b23c2d,v0,I,4,16,1e-05,0.2,0.8,0.6491228342056274,0.6488150358200073,0.6851851940155029,0.625,0.5961538553237915,0.6818181872367859
5100a000,v0,I,3,16,1e-05,0.2,0.8,0.6542056202888489,0.680496096611023,0.6111111044883728,0.671875,0.6600000262260437,0.6739130616188049
2e44ccd6,v0,I,2,16,1e-05,0.2,0.8,0.6805555820465088,0.7275377511978149,0.7222222089767456,0.6969696879386902,0.699999988079071,0.5869565010070801
0ce51154,v0,I,1,16,1e-05,0.2,0.8,0.7641509175300598,0.7834638357162476,0.7037037014961243,0.8064516186714172,0.7400000095367432,0.804347813129425
b004b876,v0,I,1,16,0.0001,0.2,0.8,0.75,0.7843538522720337,0.6851851940155029,0.7580645084381104,0.7799999713897705,0.782608687877655
